id,obligation_id,title,jurisdiction_level,jurisdiction,state,county,city,category,date,frequency,notes,sources,created_at,updated_at
1047,tx-sales-tax-monthly,Texas Sales and Use Tax Return (Monthly),state,TX,TX,,,Sales/Use Tax,2025-11-20,monthly,Declaração mensal de Sales Tax no Texas.,{https://comptroller.texas.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1048,tx-franchise-tax,Texas Franchise Tax Report,state,TX,TX,,,Franchise Tax,2026-05-15,annual,Relatório anual de Franchise Tax no Texas.,{https://comptroller.texas.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1049,il-sales-tax-monthly,Illinois Sales Tax Return (Monthly),state,IL,IL,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Illinois.,{https://www2.illinois.gov/rev/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1050,pa-sales-tax-monthly,Pennsylvania Sales Tax Return (Monthly),state,PA,PA,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax na Pensilvânia.,{https://www.revenue.pa.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1051,oh-sales-tax-monthly,Ohio Sales Tax Return (Monthly),state,OH,OH,,,Sales Tax,2025-11-23,monthly,Declaração mensal de Sales Tax em Ohio.,{https://tax.ohio.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1052,ga-sales-tax-monthly,Georgia Sales Tax Return (Monthly),state,GA,GA,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax na Geórgia.,{https://dor.georgia.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1053,nc-sales-tax-monthly,North Carolina Sales Tax Return (Monthly),state,NC,NC,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax na Carolina do Norte.,{https://www.ncdor.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1054,mi-sales-tax-monthly,Michigan Sales Tax Return (Monthly),state,MI,MI,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Michigan.,{https://www.michigan.gov/treasury/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1055,nj-sales-tax-monthly,New Jersey Sales Tax Return (Monthly),state,NJ,NJ,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Nova Jersey.,{https://www.state.nj.us/treasury/taxation/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1056,va-sales-tax-monthly,Virginia Sales Tax Return (Monthly),state,VA,VA,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax na Virgínia.,{https://www.tax.virginia.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1057,wa-sales-tax-monthly,Washington Sales Tax Return (Monthly),state,WA,WA,,,Sales Tax,2025-11-25,monthly,Declaração mensal de Sales Tax em Washington.,{https://dor.wa.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1058,az-sales-tax-monthly,Arizona Sales Tax Return (Monthly),state,AZ,AZ,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax no Arizona.,{https://azdor.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1059,co-sales-tax-monthly,Colorado Sales Tax Return (Monthly),state,CO,CO,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax no Colorado.,{https://tax.colorado.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1060,in-sales-tax-monthly,Indiana Sales Tax Return (Monthly),state,IN,IN,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Indiana.,{https://www.in.gov/dor/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1061,tn-sales-tax-monthly,Tennessee Sales Tax Return (Monthly),state,TN,TN,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax no Tennessee.,{https://www.tn.gov/revenue/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1062,mo-sales-tax-monthly,Missouri Sales Tax Return (Monthly),state,MO,MO,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Missouri.,{https://dor.mo.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1063,md-sales-tax-monthly,Maryland Sales Tax Return (Monthly),state,MD,MD,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Maryland.,{https://www.marylandtaxes.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1064,wi-sales-tax-monthly,Wisconsin Sales Tax Return (Monthly),state,WI,WI,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Wisconsin.,{https://www.revenue.wi.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1065,mn-sales-tax-monthly,Minnesota Sales Tax Return (Monthly),state,MN,MN,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Minnesota.,{https://www.revenue.state.mn.us/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1066,la-sales-tax-monthly,Louisiana Sales Tax Return (Monthly),state,LA,LA,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Louisiana.,{https://www.revenue.louisiana.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1067,al-sales-tax-monthly,Alabama Sales Tax Return (Monthly),state,AL,AL,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax no Alabama.,{https://www.revenue.alabama.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1068,ky-sales-tax-monthly,Kentucky Sales Tax Return (Monthly),state,KY,KY,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Kentucky.,{https://revenue.ky.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1069,sc-sales-tax-monthly,South Carolina Sales Tax Return (Monthly),state,SC,SC,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax na Carolina do Sul.,{https://dor.sc.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1070,ok-sales-tax-monthly,Oklahoma Sales Tax Return (Monthly),state,OK,OK,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Oklahoma.,{https://www.ok.gov/tax/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1071,or-sales-tax-monthly,Oregon Sales Tax Return (Monthly),state,OR,OR,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Oregon.,{https://www.oregon.gov/dor/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1072,ct-sales-tax-monthly,Connecticut Sales Tax Return (Monthly),state,CT,CT,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Connecticut.,{https://portal.ct.gov/drs},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1073,ut-sales-tax-monthly,Utah Sales Tax Return (Monthly),state,UT,UT,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Utah.,{https://tax.utah.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
8239,wa-various-property-tax,Various County Property Tax,county,WA County,WA,WA County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, WA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
1074,ia-sales-tax-monthly,Iowa Sales Tax Return (Monthly),state,IA,IA,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Iowa.,{https://tax.iowa.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1075,ar-sales-tax-monthly,Arkansas Sales Tax Return (Monthly),state,AR,AR,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Arkansas.,{https://www.dfa.arkansas.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1076,nv-sales-tax-monthly,Nevada Sales Tax Return (Monthly),state,NV,NV,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Nevada.,{https://tax.nv.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1077,nm-sales-tax-monthly,New Mexico Sales Tax Return (Monthly),state,NM,NM,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax no Novo México.,{https://www.tax.newmexico.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1078,wv-sales-tax-monthly,West Virginia Sales Tax Return (Monthly),state,WV,WV,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax na Virgínia Ocidental.,{https://tax.wv.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1079,hi-sales-tax-monthly,Hawaii Sales Tax Return (Monthly),state,HI,HI,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax no Havaí.,{https://tax.hawaii.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1080,nh-sales-tax-monthly,New Hampshire Sales Tax Return (Monthly),state,NH,NH,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em New Hampshire.,{https://www.revenue.nh.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1081,me-sales-tax-monthly,Maine Sales Tax Return (Monthly),state,ME,ME,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Maine.,{https://www.maine.gov/revenue/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1082,ri-sales-tax-monthly,Rhode Island Sales Tax Return (Monthly),state,RI,RI,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Rhode Island.,{https://www.tax.ri.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1083,de-sales-tax-monthly,Delaware Sales Tax Return (Monthly),state,DE,DE,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Delaware.,{https://revenue.delaware.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1084,vt-sales-tax-monthly,Vermont Sales Tax Return (Monthly),state,VT,VT,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Vermont.,{https://tax.vermont.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1085,mt-sales-tax-monthly,Montana Sales Tax Return (Monthly),state,MT,MT,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Montana.,{https://mtrevenue.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1086,nd-sales-tax-monthly,North Dakota Sales Tax Return (Monthly),state,ND,ND,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax na Dakota do Norte.,{https://www.nd.gov/tax/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1087,sd-sales-tax-monthly,South Dakota Sales Tax Return (Monthly),state,SD,SD,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax na Dakota do Sul.,{https://dor.sd.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1088,wy-sales-tax-monthly,Wyoming Sales Tax Return (Monthly),state,WY,WY,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Wyoming.,{https://www.wyomingbusiness.org/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1089,ak-sales-tax-monthly,Alaska Sales Tax Return (Monthly),state,AK,AK,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax no Alaska.,{https://tax.alaska.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1090,id-sales-tax-monthly,Idaho Sales Tax Return (Monthly),state,ID,ID,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Idaho.,{https://tax.idaho.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1091,ks-sales-tax-monthly,Kansas Sales Tax Return (Monthly),state,KS,KS,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Kansas.,{https://www.ksrevenue.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1092,ne-sales-tax-monthly,Nebraska Sales Tax Return (Monthly),state,NE,NE,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Nebraska.,{https://revenue.nebraska.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1093,ms-sales-tax-monthly,Mississippi Sales Tax Return (Monthly),state,MS,MS,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Mississippi.,{https://www.dor.ms.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1094,ms-corporate-income-tax,Mississippi Corporate Income Tax Return,state,MS,MS,,,Corporate Tax,2026-03-15,annual,Declaração anual de imposto de renda corporativo em Mississippi.,{https://www.dor.ms.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1095,ma-sales-tax-monthly,Massachusetts Sales Tax Return (Monthly),state,MA,MA,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Massachusetts.,{https://www.mass.gov/orgs/massachusetts-department-of-revenue},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1096,ma-corporate-excise-tax,Massachusetts Corporate Excise Tax Return,state,MA,MA,,,Corporate Tax,2026-03-15,annual,Declaração anual de Corporate Excise Tax em Massachusetts.,{https://www.mass.gov/orgs/massachusetts-department-of-revenue},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
9805,nc-wake-raleigh-business-license,Business License Renewal - Raleigh,municipal,Raleigh,NC,Wake,Raleigh,Business License,2025-12-31,Annual,"Annual business license renewal for Raleigh, Wake County, NC.",{},2025-09-30 15:56:03.239233,2025-09-30 15:56:03.239233
1097,dc-sales-tax-monthly,District of Columbia Sales Tax Return (Monthly),state,DC,DC,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax no Distrito de Columbia.,{https://otr.cfo.dc.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1098,dc-franchise-tax,District of Columbia Franchise Tax Return,state,DC,DC,,,Franchise Tax,2026-04-15,annual,Declaração anual de Franchise Tax no Distrito de Columbia.,{https://otr.cfo.dc.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1099,ma-income-tax-withholding,Massachusetts Income Tax Withholding,state,MA,MA,,,Payroll Withholding,2025-10-15,monthly,Retenção mensal de imposto de renda em Massachusetts.,{https://www.mass.gov/orgs/massachusetts-department-of-revenue},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1100,ms-income-tax-withholding,Mississippi Income Tax Withholding,state,MS,MS,,,Payroll Withholding,2025-10-15,monthly,Retenção mensal de imposto de renda em Mississippi.,{https://www.dor.ms.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1101,dc-income-tax-withholding,District of Columbia Income Tax Withholding,state,DC,DC,,,Payroll Withholding,2025-10-15,monthly,Retenção mensal de imposto de renda no Distrito de Columbia.,{https://otr.cfo.dc.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1102,ma-business-license-renewal,Massachusetts Business License Renewal,state,MA,MA,,,Business License,2026-01-31,annual,Renovação anual de licença comercial em Massachusetts.,{https://www.mass.gov/orgs/massachusetts-department-of-revenue},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
